Find companies,Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL,Find News Results,Find most recent news,News,Find open jobs,Find Open Jobs,Find Active Job Openings,Job Openings,Find company's competitors,Enrich Company (via Zenrows),Competitors,Enrich Company with Latest Fundraising Data,Get fundraising data for company,Enrich a company's latest funding round,Latest Funding,Enrich Company,Employee Count,Founded,Follower Count,Research company ICP with AI,Send table data
,Nucla,"Nucla maps every external relationship across your enterprise, providing instant visibility into every vendor, partner, and startup your company engages with — all in one centralized, searchable database. By bridging the gap between procurement and sourcing teams, Nucla eliminates silos, enhances collaboration, and empowers smarter, faster decision-making across the organization.",Software Development,11-50 employees,Privately Held,"Denver, CO",United States,nucla.com,https://www.linkedin.com/company/nucla,,,,,,,,,,,,,,,,,,,,✅ Sent
,FitBudd,"FitBudd, a SaaS platform helping global health & fitness coaches grow worldwide, is a fast-paced start-up funded by marquee investors. Fitbudd solves two core problems for its market. It helps coaches better engage with and retain their clients at scale. Additionally, it allows them to be far more accessible to clients across the globe, enabling them to grow internationally. 

FitBudd offers a unified platform to make online personal training genuinely personal. Each coach gets their own website with integrated payments. They also get a portal & app to manage their clients, get insights, analytics, and more - all in one place. Clients get a mobile app to do workouts, log nutrition and track their entire fitness journey, and all the data is accessible to their coach in real time. They engage with in-app messaging and video calls. Coaches can train 100s, even 1000s, of clients at once using a combination of synchronous & asynchronous means.

The FitBudd client app has a suite of features to ensure high accountability and compliance. Clients can see their training plan, including workouts, meals, step targets - everything! The coach regularly updates their program to fit their schedule, goals, equipment, and travel.","Health, Wellness and Fitness",11-50 employees,Privately Held,Lewes,United States,fitbudd.com,https://www.linkedin.com/company/fitbudd,,,,,,,,,,,,,,,,,,,,✅ Sent
,Apptile,We are a design and technology startup on a mission to help millions of micro-entrepreneurs to build their brand and grow their business.,Software Development,11-50 employees,Privately Held,"Bellevue, Washington",United States,apptile.com,https://www.linkedin.com/company/apptile,,,,,,,,,,,,,,,,,,,,✅ Sent
,Aptly,"Your property management software wasn’t built to manage routine workflows, forcing you into MS Excel or Google Sheets to track common tasks such as customer onboarding, lease renewals, rehabs, move ins/outs and countless other processes. Aptly takes the best aspects of spreadsheets and databases, and puts them together with automation and collaboration tools so that your team can get more done together!

Aptly was founded in 2017 by a team of property tech SaaS entrepreneurs who built and scaled single family’s first cloud property management platform. Working with leading brands in both single and multifamily real estate, the Aptly team has in-depth industry knowledge and expertise. Headquartered in San Francisco, Aptly has embraced the remote work culture, with team members in San Diego, Buenos Aires, Las Vegas, Dallas and beyond. Aptly is integrated with leading property management and email platforms such as Yardi, RealPage, Propertyware, Appfolio, Buildium, Office365 and Gmail. Aptly is proudly backed by Accel Ventures, Slack Fund and C-Level executives from Facebook, Salesforce.com and Twilio.",Software Development,11-50 employees,Privately Held,"San Rafael, California",United States,getaptly.com,https://www.linkedin.com/company/getaptly,,,,,,,,,,,,,,,,,,,,✅ Sent
,Binocs.co,"Empowering Alternative Investors with Agentic Gen-AI: Introducing Binocs.

Binocs is a cutting-edge software platform leveraging agentic Gen-AI to revolutionize Due Diligence and Portfolio Monitoring for Alternative Investors in Private Equity and Private Credit. Recognizing the challenges of manual, time-consuming, and error-prone processes, Binocs offers a powerful automation solution.

Our platform stands out by employing an agentic Gen-AI framework that intelligently mirrors the complex workflows of Alt Funds. This enables rapid and accurate Deal Analysis, encompassing Commercial, Financial, and Operational Due Diligence, alongside continuous and insightful portfolio monitoring.

Binocs is committed to enhancing operational efficiency and strengthening risk management. Our integrated platform automates document management from all sources, utilizes AI and ML to extract and standardize financial statement data for in-depth analysis, and provides robust covenant and ESG monitoring capabilities.",Software Development,11-50 employees,Privately Held,"Jersey City, New Jersey",United States,binocs.co,https://www.linkedin.com/company/binocs-co,,,,,,,,,,,,,,,,,,,,✅ Sent
,MeetRecord,"MeetRecord is a Revenue Intelligence and Sales Coaching platform that helps sales teams boost performance through AI-powered coaching and roleplay. From faster onboarding to sharper call readiness, MeetRecord enables reps to practice, get instant feedback, and consistently close more deals. Trusted by modern GTM teams worldwide.",Software Development,11-50 employees,Privately Held,"San Francisco, California",United States,meetrecord.com,https://www.linkedin.com/company/meetrecord,,,,,,,,,,,,,,,,,,,,✅ Sent
,Mat3ra.com,"Mat3ra.com (formerly Exabyte.io) is a technology startup company based in San Francisco, California developing a novel way to design and discover advanced materials through computer simulations.

The company’s simulation and modeling product allows materials scientists the capability to design and prototype new compounds in a rapid and cost-effective manner with applications in a variety of fields including semiconductor, clean energy, aerospace/automotive, and others.

Mat3ra.com was founded by former UC Berkeley scientists and engineers, has successfully attracted private investments, including funding by the Alchemist Accelerator, Breakout Labs, Tim Draper, Serguei Beloussov + other prominent investors, and is actively working with major US enterprises and research institutions worldwide.

More information at https://mat3ra.com/.",Software Development,11-50 employees,Privately Held,"Walnut Creek, California",United States,mat3ra.com,https://www.linkedin.com/company/mat3ra,,,,,,,,,,,,,,,,,,,,✅ Sent
,IOMETE,The IOMETE Self-Hosted Data Lakehouse Platform unifies all data - regardless of where the data resides - enabling large-scale analytics (BI/ML/AI) on the entire data set so that enterprise customers can analyze multi-terabyte to petabyte-scale data seamlessly across on-premise and/or cloud environments.,Software Development,11-50 employees,Privately Held,"Mountain View, California",United States,iomete.com,https://www.linkedin.com/company/iomete,,,,,,,,,,,,,,,,,,,,✅ Sent
,LendAPI,"LendAPI is a venture-backed FinTech infrastructure company empowering Banks and FinTechs to launch products in minutes. With our all-in-one platform—featuring Product Studio, Rules Studio, Pricing Engine, and Integrated Partners—we make banking and lending innovation seamless.

LendAPI is backed by Cohen Circle, Great North Ventures, AlleyCorp, Techstars, Plug and Play and Interlock Capital.",Financial Services,11-50 employees,Privately Held,"Irvine, CA",United States,lendapi.com,https://www.linkedin.com/company/lendapi,,,,,,,,,,,,,,,,,,,,✅ Sent
,Connected-Stories,"Connected-Stories is a Creative Management Platform that leverages Generative and Predictive AI to empower enterprises in creating, delivering and optimizing hyper-personalized content at scale, in real-time and across any digital channels. 


“We believe that the future of marketing is real-time, adaptive, and truly personalized. At Connected-Stories, we are building the infrastructure that empowers brands to engage audiences with the right creative, at the right moment, in the right context — automatically and at scale.”",Software Development,11-50 employees,Privately Held,New York,United States,connected-stories.com,https://www.linkedin.com/company/connected-stories,,,,,,,,,,,,,,,,,,,,✅ Sent
,Sonar,"Sonar is a mental health and coaching platform that helps students feel seen and supported.We partner with schools to offer 24/7 text-based wellbeing support, blending real human connection from trained Wellbeing Coaches with AI tools that make them more effective.",Mental Health Care,2-10 employees,Privately Held,"Stanford, CA",United States,sonarmentalhealth.com,https://www.linkedin.com/company/sonar-mental-health,,,,,,,,,,,,,,,,,,,,✅ Sent
,Plot,next gen marketing OS powered by video intelligence,Software Development,2-10 employees,Privately Held,"New York, NY",United States,plot.so,https://www.linkedin.com/company/plotworkspace,,,,,,,,,,,,,,,,,,,,✅ Sent
,310.ai,Design of novel biomolecules is the single most impactful advancement that will be enabled by AI in the coming decade. 310 is building the AI engine that delivers this reality.,Biotechnology Research,11-50 employees,Privately Held,"San Francisco, CA",United States,310.ai,https://www.linkedin.com/company/310-ai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Aarogya Tech,"At Aarogya Tech, we’re revolutionizing healthcare with a full-stack solution that combines cutting-edge devices, intelligent software, AI-powered insights, and seamless telehealth services—all designed with a commitment to data security and privacy. Our mission is to make healthcare accessible, reliable, and efficient while safeguarding trust.
Our integrated health monitoring ecosystem brings together portable diagnostic devices, advanced AI, and cloud-based software with robust telehealth capabilities. This secure, privacy-focused platform enables real-time diagnostics, personalized recommendations, and instant physician connectivity. ",Software Development,11-50 employees,Privately Held,"Georgetown, Delaware",United States,aarogyatech.com,https://www.linkedin.com/company/aarogya-tech,,,,,,,,,,,,,,,,,,,,✅ Sent
,ProSights,"ProSights is an AI platform that extracts and organizes unstructured data into a usable format at scale with complete auditability. 

ProSights offers a web app and Excel extension tailored for business teams, and a JSON API / Widget SDK for data science teams and third-party developers.

Today, ProSights is trusted by more than half of the world’s 10 largest private equity firms.",Software Development,11-50 employees,Privately Held,"New York, NY",United States,prosights.co,https://www.linkedin.com/company/prosightsco,,,,,,,,,,,,,,,,,,,,✅ Sent
,Nixtla,"Transforming Enterprise Decision-Making Through Advanced Time-Series AI
Secure, scalable, and easy-to-deploy forecasting and anomaly detection, trusted by Fortune 500 enterprises.","Technology, Information and Internet",11-50 employees,Privately Held,"San Francisco, California",United States,nixtla.io,https://www.linkedin.com/company/nixtlainc,,,,,,,,,,,,,,,,,,,,✅ Sent
,Pitchit,"AI Agents trained to sell Telecom, Utility and Smart Home Services.",Telecommunications,2-10 employees,Privately Held,"Austin, TX",United States,pitchit.ai,https://www.linkedin.com/company/pitchitai,,,,,,,,,,,,,,,,,,,,✅ Sent
,ShiftRx,"ShiftRx is utilizing AI and LLMs to transform healthcare staffing, scheduling, and workforce management—starting in pharmacy. 

Our platform today enables facilities to instantly build, credential, and manage reliable float and permanent staff. We started by solving PRN pharmacy staffing—and now we’re onto our next evolution, deploying autonomous agents that handle internal staffing workflows, reducing reliance on schedulers, overtime, and bloated flex pools. 

Make the shift towards staffing smarter at your pharmacy organization today.","Technology, Information and Internet",11-50 employees,Privately Held,"Austin, Texas",United States,shiftrx.io,https://www.linkedin.com/company/shift-rx,,,,,,,,,,,,,,,,,,,,✅ Sent
,HourWork,"At HourWork, we believe a happy, engaged workforce is the foundation of every successful business. That’s why we provide powerful tools to help employers connect with their teams, celebrate achievements, and gather actionable insights. From day one, HourWork ensures employees feel valued and supported, helping businesses foster a culture of communication, trust, and belonging.

Our platform simplifies the complex challenges of employee engagement and retention. With automated tools for regular check-ins, feedback collection, and recognition programs, HourWork enables employers to strengthen their relationships with team members, reduce turnover, and drive long-term business success.

Trusted by thousands of businesses across industries, HourWork empowers organizations to:

Build strong connections with their workforce
Celebrate team milestones and individual contributions
Reduce turnover and save on costly recruitment
Foster a thriving workplace culture
When employees feel valued, businesses thrive. HourWork makes it easier than ever to create workplaces where teams feel engaged, supported, and inspired to perform their best every day.

Let us help you turn workforce challenges into opportunities for growth and success.",Human Resources Services,11-50 employees,Privately Held,"Boston, Massachusetts",United States,sprockets.ai,https://www.linkedin.com/company/hourwork,,,,,,,,,,,,,,,,,,,,✅ Sent
,candidate.fyi,"candidate.fyi is the AI-powered platform transforming how companies engage with candidates and schedule interviews.

We integrate seamlessly with your ATS, calendar, Slack, and more—powering automation where you need it most.

Our Candidate Experience Engine gives every candidate a personalized, centralized hub—complete with company insights, interview prep, progress tracking, and feedback collection.

Our AI Interview Scheduling automates even the most complex coordination tasks, eliminating back-and-forth and freeing up your recruiting team to focus on what matters.

From early-stage interviews to final rounds, candidate.fyi ensures a smooth, consistent, and branded experience at every step.

Trusted by top teams at Intercom, GoPro, Discord, Intercom, Bally’s Resorts and Casinos, and AG1.

Let’s make hiring more human—and more efficient.",Software Development,11-50 employees,Privately Held,"New York, New York",United States,candidate.fyi,https://www.linkedin.com/company/candidatefyi,,,,,,,,,,,,,,,,,,,,✅ Sent
,App0,"At App0, our mission is to enable eCommerce companies to grow by creating meaningful relationships with their customers.

With App0, e-commerce brands can offer a a personal shopping assistant to every customer that lands on their website. The shopping assistant hyper personalizes the experience for every shopper leading to higher conversion rates and customer loyalty.

Join the AI revolution & unlock your business potential. App0 is being built by serial entrepreneurs & AI domain experts and is backed by the best enterprise investors like COTA Capital etc.

Reach out to us if you want to see the AI concierge in action.","Technology, Information and Internet",11-50 employees,Privately Held,"San Francisco, California",United States,app0.io,https://www.linkedin.com/company/app0,,,,,,,,,,,,,,,,,,,,✅ Sent
,Ayraa,"Eliminate information silos with a self-organizing, real-time knowledge base & universal search.",Software Development,11-50 employees,Privately Held,"San Jose, CA",United States,ayraa.io,https://www.linkedin.com/company/ayraa,,,,,,,,,,,,,,,,,,,,✅ Sent
,Neural,"Neural combines the power of proprietary space technology, AI and cloud computing to deploy solutions that turn isolated data into powerful insights and applications for industry leaders. From uncovering market trends to fine-tuning operations and understanding market shifts before they happen, we're not just predicting the future — we're building it.","Technology, Information and Internet",11-50 employees,Privately Held,"Miami, Florida",United States,neural.io,https://www.linkedin.com/company/neural-io,,,,,,,,,,,,,,,,,,,,✅ Sent
,Statt,"Meet Statt — the first AI-powered workflow platform founded by policy insiders and built for and with government relations, public affairs, and regulatory teams. Public policy professionals  are drowning in resource-intensive and repetitive deliverables to keep their leadership team and clients informed of the latest legislative and regulatory intelligence. With Statt, teams can:

- Stay informed in real-time with less noise. Monitor the Federal, State, the EU, 100+ global markets, and tens of thousands of interest groups—by issue, client, or jurisdiction—and surface only what matters.
- Eliminate  manual research and analysis. Easily summarize lengthy hearings, disparate government filings, complex legislation, and highly-technical rule-makings and comment letters.
- Automate the development of fully customizable deliverables. Produce hearing summaries, issue monitoring memos, meeting briefings, talking points, and more, freeing up your time to focus on the strategic insights that matter most.",Software Development,11-50 employees,Privately Held,"Washington, D.C.",United States,statt.com,https://www.linkedin.com/company/stattinc,,,,,,,,,,,,,,,,,,,,✅ Sent
,RoshAi,"With over 13 years of hands-on experience in the autonomous vehicle development field, we have established ourselves as experts in creating innovative solutions specifically tailored for Indian road scenarios. We take pride in being the trusted partner for international automotive Original Equipment Manufacturers (OEMs), providing unparalleled expertise in the development, deployment, and validation of autonomous systems and components.

Our team is made up of highly skilled professionals who possess deep knowledge in developing, building, and optimizing the various components of autonomy control software technology. From control systems and planning algorithms to navigation solutions, localization techniques, and fleet management, our experts are well-versed in every aspect of this rapidly evolving field.

As a Center of Excellence, we are proud to have a team of industry-certified automotive domain and process experts, consultants, deployment specialists, and support engineers. This ensures that our clients receive the highest level of expertise and assistance throughout their journey with us.

We have access to state-of-the-art test tracks and proving grounds for thorough prototype testing. Additionally, our own advanced factory is equipped for seamless vehicle integration and extended testing. We understand the importance of thorough validation and ensure that every aspect of our autonomous systems and components meet the highest standards.

We are committed to driving innovation and revolutionizing the automotive industry. Join us on this exciting journey as we shape the future of autonomous vehicles, making roads safer and transportation more efficient.","Technology, Information and Internet",11-50 employees,Privately Held,Delaware,United States,rosh.ai,https://www.linkedin.com/company/roshartificialintelligence,,,,,,,,,,,,,,,,,,,,✅ Sent
,Origami,"At Origami, we’re building the most powerful AI Agents to automate your sales team's research.

Our Agents work 24/7 like sales reps: finding new leads, enriching data, and updating your CRM — so your team can focus on selling.

Founded in 2024, we became Y Combinator's fastest growing startup and accelerate pipeline for top companies like Rho, CBRE, and Remote.com.","Technology, Information and Internet",11-50 employees,Privately Held,San Francisco,United States,origamiagents.com,https://www.linkedin.com/company/origamiagents,,,,,,,,,,,,,,,,,,,,✅ Sent
,librodepases,"LDP seeks to solve the lack of access to opportunities between players, agents and soccer clubs, enabling direct contact, with the help of artificial intelligence (AI).


Through LIBRODEPASES, clubs can access premium profiles, linking their youth and professional rosters to optimize the search for players through our intelligent matching tool (AI). Clubs can directly contact other clubs, agents and players to generate opportunities and manage data to improve decision making.

Our platform includes player scouting, market information, direct messaging with other clubs, agents and players, an AI-based recommendation system and data management.",Software Development,11-50 employees,Privately Held,"Miami, USA",United States,librodepases.com,https://www.linkedin.com/company/librodepases,,,,,,,,,,,,,,,,,,,,✅ Sent
,VictoryXR,"VictoryXR builds immersive education in spatial 3D. VXRLabs delivers safe, repeatable VR science labs—dissection, chemistry, anatomy, and more—on Meta Quest or desktop with assessments and dashboards. HoloTutor is a 3D-avatar AI tutor in Chrome/Safari, offering standards-aligned, conversational lessons and eTextbook support. VictoryXR earned HTC’s Viveport Award for the world’s best academic VR experience. Trusted by schools, districts, and homeschool families.


With educational partners like Carolina Biological and Oxford University, we have been able to develop brand-new educational encounters for VR users across the globe.

VictoryXR develops Virtual Reality content for the following systems:

 - HTC Vive
 - HTC Vive Focus
 - Windows Mixed Reality
 - Oculus Rift
 - Oculus Go
 - Oculus Quest
 - Pico
 - Lenovo Mirage (running Google Daydream)
 - Google Cardboard
…as well as Augmented Reality (AR) content for both iPhones and Android phones",E-Learning Providers,11-50 employees,Privately Held,"Davenport, Iowa",United States,victoryxr.com,https://www.linkedin.com/company/victoryxr,,,,,,,,,,,,,,,,,,,,✅ Sent
,Clueso (YC W23),"Clueso is the fastest and easiest way to create stunning product videos. It converts raw screen recordings into studio-quality videos and step-by-step articles in minutes. No editing or design skills needed.

Here’s how it works: 
Simply record/upload a rough screen recording of your product, and Clueso will instantly transform it into a studio-quality explainer video and a step-by-step how-to article. 

Here are some of the top features:

Create videos
Clueso handles every step of the video production process. It writes your video’s script and generates a professional AI-voiceover that stays perfectly in sync with your video. Clueso also enhances your video with stunning zoom effects, highlights, captions, music, and branding!

Create SOPs/help articles
From any screen recording, Clueso’s AI automatically generates a step-by-step article with perfectly crafted steps and screenshots/GIFs. Use our AI agent to get the tone and formatting you want.

Translate your content
Translate your videos into 40+ languages. Use the translation glossary feature to fine-tune terms and ensure translation accuracy.

Easily update out-of-date content
Whenever your videos go out of date, you don’t need to remake them from scratch! Clueso makes it super-easy to replace outdated clips and voiceovers.",Software Development,11-50 employees,Privately Held,San Francisco,United States,clueso.io,https://www.linkedin.com/company/clueso,,,,,,,,,,,,,,,,,,,,✅ Sent
,Giga,AI support agents trusted by the world’s largest B2C companies such as DoorDash,Software Development,11-50 employees,Privately Held,"San Francisco , California",United States,gigaml.com,https://www.linkedin.com/company/gigaml,,,,,,,,,,,,,,,,,,,,✅ Sent
,VLGE,VLGE is a no-code world-building platform that enables creators and brands to build immersive hyper-personalized experiences.,"Technology, Information and Internet",11-50 employees,Privately Held,"New York , NY",United States,vlge.com,https://www.linkedin.com/company/vlge-com,,,,,,,,,,,,,,,,,,,,✅ Sent
,Parambil,"Parambil is an AI-powered knowledge platform built for tort law.

Products on market include automatic case validation, medical chronologies, complaints, fact sheets and more...

We'd love to hear from you.",Software Development,11-50 employees,Privately Held,"New York, NY",United States,parambil.com,https://www.linkedin.com/company/parambil,,,,,,,,,,,,,,,,,,,,✅ Sent
,Quill.org,"Quill’s mission is to help more than 10 million low-income students per year become strong writers, readers, and critical thinkers. Teachers are busier than ever and have little to no time to provide individual writing feedback to their students. Plus, while curriculum experts recommend students write for at least 30 minutes per day, 74% of eighth-grade students and 91% of twelfth-grade students do not spend more than 30 minutes per day writing. 

By building free online tools that use AI to automatically evaluate student writing, Quill provides 4th- through 12th-grade students with immediate feedback and coaching. This enables students to revise their work immediately and quickly build their literacy skills while saving their teachers precious time.

Quill is supported by grants from the Bill & Melinda Gates Foundation, the Overdeck Family Foundation, and Google.org, among others.",E-Learning Providers,11-50 employees,Non Profit,"New York, NY",United States,quill.org,https://www.linkedin.com/company/quill-org,,,,,,,,,,,,,,,,,,,,✅ Sent
,Waldo Photos,"For professional photographers looking to sell more photos in less time, Waldo’s AI-powered sifting and sorting, mobile automated proof delivery and patented copyright protection delivers the experience their customers expect while providing pros simplicity and increased sales.

For event-goers, Waldo provides a private, ad-free, and non-toxic way to share photos with everyone who was there and those who missed but matter most.",IT Services and IT Consulting,11-50 employees,Privately Held,"Austin, Texas",United States,waldo.photos,https://www.linkedin.com/company/waldo-photos,,,,,,,,,,,,,,,,,,,,✅ Sent
,Oliv AI,"At Oliv AI, we solve one of the biggest problems for revenue teams: unreliable deal data. Oliv captures Deal Intelligence from every meeting, call, and email—without any rep involvement. The result is a clear, detailed view of every deal, presented in scorecards built on trusted sales methodologies like MEDDICC, BANT, and SPICED.

Our AI agents are built for sales teams—sales managers, AEs, and RevOps—handling the work that takes them away from selling. 

Deal Driver is the first of its kind, an agent built for sales managers to stay on top of deals, track progress, and take action based on real, unbiased insights.

With Oliv AI, sales teams can bring back focus on deals, strategy and conversation.",Software Development,11-50 employees,Privately Held,"San Francisco, CA",United States,oliv.ai,https://www.linkedin.com/company/oliv-ai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Insight Health,"The Future of Independent Healthcare

Our mission is to revolutionize healthcare with AI, empowering independent practices and enabling providers to practice at the top of their license.**

We envision a healthcare system where private practices thrive, free from consolidation and administrative overload. By automating routine tasks across the care continuum—from intake to follow-up—providers will spend more time on patient care, decision-making, and meaningful interactions. Our goal is to redefine healthcare technology—not to replace human expertise, but to enhance it and improve the overall care experience.

About Us

At Insight Health, we’ve assembled a team uniquely equipped to transform healthcare by blending the expertise of leading physicians with cutting-edge AI and data engineering talent. This combination positions us at the forefront of healthcare’s AI revolution.

Our co-Chief Medical Officers, Dr. Pankaj Gore and Dr. Eric Stecker, bring years of leadership experience in neurosurgery and cardiology, ensuring our solutions address the most critical healthcare challenges. Complementing this medical expertise, our tech leaders, with experience at companies like Segment and Twilio, bring Silicon Valley innovation into healthcare. 

Healthcare is at a pivotal moment, with AI adoption accelerating rapidly. By joining our team, you’ll be at the heart of this transformation, working with top minds in both medicine and technology. We’re not just part of the change in healthcare, we’re driving it.",Hospitals and Health Care,2-10 employees,Privately Held,"Austin, TX",United States,insighthealth.ai,https://www.linkedin.com/company/insight-health-ai,,,,,,,,,,,,,,,,,,,,✅ Sent
,AppMagic,"AppMagic is an accurate and easy-to-use tool for exploring mobile apps market. Access data on 14 million apps and 4.6 million publishers to gain a competitive edge, discover innovation, and boost your revenue.

We simplify complex data into actionable insights with an intuitive interface. Whether you’re a developer, marketer, or publisher, AppMagic empowers you to make informed decisions that drive success.

— Market Research: 18 tools and 500+ tags for precise data selection.
— UA Improvement: Over 150+ million creatives.
— Product Analysis:  A curated library of IAP monetization strategies and a LiveOps Calendar featuring expert commentary on top-grossing events.

Reach out to us and we will show you around!",IT Services and IT Consulting,11-50 employees,Privately Held,"Wilmington, Delaware",United States,appmagic.rocks,https://www.linkedin.com/company/appamagic,,,,,,,,,,,,,,,,,,,,✅ Sent
,Vaionex Corporation,"At Vaionex Corporation, we lead the charge in AI and blockchain innovation, empowering enterprises with cutting-edge solutions for transformative growth. Our meticulously crafted product suite leverages AI algorithms, machine learning, and data science to propel businesses to new heights of success. 

Our AI-driven solutions, including Legaliser,PitchAi, and Makeover, exemplify our commitment to streamlining processes and enhancing organizational efficiency. Legaliser revolutionizes contract analysis, while PitchAi offers powerful analytics for VCs to analyze and score hundreds of pitches effortlessly. Makeover redefines interior and fashion customization with AI, turning the ordinary into extraordinary.

In the blockchain sphere, our platforms anchored by the robust BSV blockchain are revolutionizing industries. Timeseal authenticates data timestamps, Relysia redefines Bitcoin wallet experiences, and Satolearn offers immersive insights into the Bitcoin universe. Tegment seamlessly merges gaming with blockchain potential. 

Beyond products, our ecosystem leverages the security and scalability of the BitcoinSV blockchain. We offer bespoke consulting services and platform development, supported by our seasoned team of developers and industry experts. Their expertise ensures rapid development cycles and sets a benchmark for excellence in the industry.

Explore our suite of offerings: www.legaliser.com, www.pitchai.com, makeover.ai, www.timeseal.com, www.relysia.com, www.satolearn.com, and www.tegment.com.","Technology, Information and Internet",11-50 employees,Privately Held,"Newark, Delaware",United States,vaionex.com,https://www.linkedin.com/company/vaionex,,,,,,,,,,,,,,,,,,,,✅ Sent
,Wyng,"Wyng is at the forefront of B2C marketing technology, offering an AI-powered Data Capture & Engagement (DCE) Platform designed for global enterprises.

Marketing teams use the Wyng platform to create digital experiences (ie. quizzes, promotions, gamified instant wins, preferences centers, and more) that engage consumers at key moments along their journey, capture valuable zero-party and first-party data, and deliver personalized promotions. By leveraging Wyng, brands can build and strengthen direct relationships with consumers, enrich their customer database, and improve marketing efficiency and agility - all while ensuring compliance with data privacy laws.

Wyng serves over 250 global brands, including Disney, Estée Lauder, Sony, Tractor Supply Company, and Unilever. To learn more, visit www.wyng.com.","Technology, Information and Media",11-50 employees,Privately Held,"New York, NY",United States,wyng.com,https://www.linkedin.com/company/wyng,,,,,,,,,,,,,,,,,,,,✅ Sent
,Argoid AI (an Amagi company),"Argoid helps businesses deliver personalized experiences across various digital touch points with hyper-personalized recommendations. We want to enable businesses to grow their revenue with 1:1 personalization for Streaming platforms. Argoid produces the best conversion rates possible with its real-time AI driven recommendation system .

At Argoid, we offer personalized content recommendations to amp-up viewer journeys. Our personalized recommendations include, Home page Recommendations, Similar Movie Recommendations, For You Recommendations, Recently Watched and more.

Argoid  builds a deep understanding of each viewer to auto-deliver the most relevant recommendations. Our real-time content recommendations are powered by viewers’ intent and browsing history, among a billion data points.

Our team  comes with a diverse and complementary skill set, dedication, and experience.We learn from each other, our customers, and follow the latest industry trends to ensure that  our customers gets the best results 

To learn more about how you can amplify your growth with a recommendation engine, Request a demo at www.argoid.ai",Software Development,11-50 employees,Privately Held,"San Francisco, California",United States,argoid.ai,https://www.linkedin.com/company/argoid,,,,,,,,,,,,,,,,,,,,✅ Sent
,QuantHub,"QuantHub powers the next generation of learning. We help educators and businesses create and deliver data and AI skill-building experiences that are fast, flexible, and future-focused.

From AI literacy in universities to custom curriculum for regulated industries, we equip people with the skills that matter—before they become a gap.

Our adaptive platform combines learning science, automation, and human expertise to rapidly build and scale content for the AI age. Because in a world where tech moves fast, learning has to move faster.

Let’s future-proof your team, your classroom, your community.",Software Development,11-50 employees,Privately Held,"Birmingham, Alabama",United States,quanthub.com,https://www.linkedin.com/company/quanthub,,,,,,,,,,,,,,,,,,,,✅ Sent
,Passio AI,"Passio is an AI company spun out from the Stanford Research Institute (SRI International). Passio's Mobile AI Platform enables developers and companies to rapidly build and deploy mobile AI applications. 

Passio's easy-to-use Mobile AI SDKs reach millions of users who use Passio every day to transform their health, fitness, homes, businesses and lives. Passio Nutrition-AI SDK is the world's leading food tracking AI technology powering MyFitnessPal, Sydney Health, Simple Life, Sharecare, Vivante Health and others. Passio Paints-AI is the first AI + Augmented Reality home-remodeling SDK that supports sales of home remodel products for Jazeera Paints and others. 

Headquartered in Menlo Park with the team around the globe, Passio’s mission is to enhance human life with the power of AI. 

To learn more, visit www.passio.ai",Software Development,11-50 employees,Privately Held,"Menlo Park, CA",United States,passio.ai,https://www.linkedin.com/company/passio-ai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Soopra.ai,"Soopra AI lets you create a smart, digital version of yourself or your brand that’s available 24/7. Whether you're a coach, educator, creator, or business, your AI persona can chat, teach, answer questions, and even help you earn — all while staying true to your voice and expertise.

Now with enterprise support, Soopra also helps businesses scale customer support, training, and internal knowledge sharing — using AI agents that feel personal, helpful, and human.",Software Development,11-50 employees,Privately Held,"San Francisco, CA",United States,soopra.ai,https://www.linkedin.com/company/soopra-ai,,,,,,,,,,,,,,,,,,,,✅ Sent
,Curi Bio,"""Human Data for Next Generation Medicines""

Curi Bio unlocks novel workflows and critical human data to inform R&D decision-making. Through an integrated platform featuring advanced 3D tissue models of disease, biosystems enabling clinically relevant functional analyses, and AI/ML-enabled insights, Curi Bio merges functional and analytical assessments for  drug safety, efficacy, and potency",Biotechnology Research,11-50 employees,Privately Held,"Seattle, Washington",United States,curibio.com,https://www.linkedin.com/company/curibio,,,,,,,,,,,,,,,,,,,,✅ Sent
,PineGap.ai,"PineGap.AI is an AI-powered equity research platform built for institutional equity analysts and portfolio managers, helping them automate daily workflows across idea generation and validation, new companies ramp-up, and earnings analysis.",Software Development,11-50 employees,Privately Held,New York,United States,pinegap.ai,https://www.linkedin.com/company/pinegap,,,,,,,,,,,,,,,,,,,,✅ Sent
,ResoluteAI,"ResoluteAI is the research platform for science. Foundation lets commercial science enterprises search aggregated scientific, regulatory, and business databases simultaneously. Nebula is our enterprise search tool for science. Combined with our interactive analytics and downloadable visualizations, ResoluteAI helps make connections that lead to breakthrough discoveries. Used in R&D, medical affairs, post market surveillance, and pharmacovigilance by scientific organizations around the world, ResoluteAI won the BCS Search Industry Award for Most Promising Start-Up in 2021.

For more information, visit www.resolute.ai",Software Development,11-50 employees,Privately Held,"New York, New York",United States,resolute.ai,https://www.linkedin.com/company/resoluteai,,,,,,,,,,,,,,,,,,,,✅ Sent
